team,player_number,position,birth_date,shirt_name,club_name,height,weight,league,age,name,caps
Tunisia,21,DF,10/28/1992,NAGUEZ,Zamalek,186,75,EGY,25.62739726,Hamdi Nagguez,15
Tunisia,22,GK,3/5/1995,HASSEN,LB Chateauroux,186,70,FRA,23.27671233,Mouez Hassen,3
Tunisia,23,FW,7/27/1992,SLITI,Dijon FCO,173,65,FRA,25.88219178,Naïm Sliti,17
Uruguay,1,GK,6/16/1986,F. MUSLERA,Galatasaray SK,190,74,TUR,31.99452055,Fernando Muslera,97
Uruguay,2,DF,1/20/1995,J.M. GIMENEZ,Atletico Madrid,185,77,ESP,23.39726027,José Giménez,42
Uruguay,3,DF,2/16/1986,D. GODIN,Atletico Madrid,185,73,ESP,32.32328767,Diego Godín,116
Uruguay,4,DF,3/24/1993,G. VARELA,CA Penarol,173,70,URU,25.22465753,Guillermo Varela,3
Uruguay,5,MF,12/2/1984,C. SANCHEZ,CF Monterrey,171,74,MEX,33.53150685,Carlos Sánchez,36
Uruguay,6,MF,6/25/1997,R. BENTANCUR,Juventus FC,187,73,ITA,20.96986301,Rodrigo Bentancur,7
Uruguay,7,MF,9/30/1985,C. RODRIGUEZ,CA Penarol,178,79,URU,32.70410959,Cristian Rodríguez,105
Uruguay,8,MF,12/28/1995,N. NANDEZ,CA Boca Juniors,171,61,ARG,22.46027397,Nahitan Nández,12
Uruguay,9,FW,1/24/1987,L. SUAREZ,FC Barcelona,182,85,ESP,31.38630137,Luis Suárez,98
Uruguay,10,FW,6/1/1994,G. DE ARRASCAETA,Cruzeiro EC,172,64,BRA,24.03561644,Giorgian De Arrascaeta,14
Uruguay,11,FW,10/12/1986,C. STUANI,Girona FC,186,78,ESP,31.67123288,Cristhian Stuani,41
Uruguay,12,GK,5/29/1989,M. CAMPAÑA,CA Independiente,184,79,ARG,29.04383562,Martín Campaña,1
Uruguay,13,DF,3/5/1994,G. SILVA,CA Independiente,185,74,ARG,24.27671233,Gastón Silva,17
Uruguay,14,MF,2/11/1996,L. TORREIRA,UC Sampdoria,168,61,ITA,22.3369863,Lucas Torreira,3
Uruguay,15,MF,8/24/1991,M. VECINO,FC Internazionale,189,80,ITA,26.80547945,Matías Vecino,22
Uruguay,16,DF,6/8/1984,M. PEREIRA,FC Porto,173,73,POR,34.01643836,Maxi Pereira,125
Uruguay,17,MF,2/7/1993,D. LAXALT,Genoa CFC,178,66,ITA,25.34794521,Diego Laxalt,6
Uruguay,18,FW,8/14/1996,M. GOMEZ,Celta Vigo,186,85,ESP,21.83287671,Maxi Gómez,5
Uruguay,19,DF,10/7/1990,S. COATES,Sporting CP,196,89,POR,27.68493151,Sebastián Coates,30
Uruguay,20,FW,3/19/1990,J. URRETAVISCAYA,CF Monterrey,172,66,MEX,28.23835616,Jonathan Urretaviscaya,4
Uruguay,21,FW,2/14/1987,E. CAVANI,Paris Saint-Germain FC,188,78,FRA,31.32876712,Edinson Cavani,101
Uruguay,22,DF,4/7/1987,M. CACERES,SS Lazio,178,75,ITA,31.18630137,Martín Cáceres,76
Uruguay,23,GK,3/25/1983,M. SILVA,CR Vasco da Gama,187,82,BRA,35.22191781,Martín Silva,11
